"HKU Business School
Master of Finance in Financial
Technology
Teaching Plan 2025-2026",Course Code,Course Title,"Course
Type",Instructor,Class Day & Time,Class Dates,V2-Class Dates,"Cyperport(CP)/
Main Campus(MC)",Class Venue*
"Semester 1
(Module 1  & 2)
Sep 1 - Nov 29, 2025",LLAW6093,Regulation of Financial Markets (Class C),Core,Ms. Lea-Anne Lee,"Thursday
16:00 - 19:00","Sep 11, 18, 25,
Oct 2, 9, 16, 23, 30,
Nov 6, 13, 20
(may subject to further adjustment, please refer to the course
Moodle page; make up classes to be announced on Moodle by the Faculty of Law)","Sep 11, 18, 25,
Oct 2, 9, 16, 23, 30,
Nov 6, 13, 20
(may subject to further adjustment, please refer to the course
Moodle page; make up classes to be announced on Moodle by the Faculty of Law)",MC,CBC
"Semester 1
(Module 1  & 2)
Sep 1 - Nov 29, 2025",LLAW6046,Privacy and Data Protection (Class A),Elective,Mr. Adam Au,"Wednesday
19:00-22:00","Sep 10, 17, 24,
Oct 8, 15, 22,
Nov 5, 12
(may subject to further adjustment, please refer to the course
Moodle page; make up classes to be announced on Moodle by the Faculty of Law)","Sep 10, 17, 24,
Oct 8, 15, 22,
Nov 5, 12
(may subject to further adjustment, please refer to the course
Moodle page; make up classes to be announced on Moodle by the Faculty of Law)",MC,KK101
"Semester 1
(Module 1  & 2)
Sep 1 - Nov 29, 2025",FITE7409,Blockchain and Cryptocurrency (Class A),Core,Dr. KP Chow,"Monday & Thursday
13:00-16:00","Oct 13, 20, 27, 30,
Nov 3, 6, 10, 13, 27
(may subject to further adjustment, please refer to the course
Moodle page; make up classes to be announced on Moodle by the Faculty of
Engineering)","Oct 13, 20, 27, 30,
Nov 3, 6, 10, 13, 27
Dec 1
(may subject to further adjustment, please refer to the course
Moodle page; make up classes to be announced on Moodle by the Faculty of
Engineering)",MC,"Mon lectures: CPD-3.04

Thu lectures: MW-T2"
"Semester 1
(Module 1  & 2)
Sep 1 - Nov 29, 2025",DASC7606,Deep Learning (Class A),Elective,"Prof. Francis Chin &
Dr. Bethany Chan","Thursday
13:00 - 16:00","Sep 4, 11, 18, 25,
Oct 2, 9, 23, 30,
Nov 6, 13
(may subject to further adjustment, please refer to the course
Moodle page)","Sep 4, 11, 18, 25,
Oct 2, 9, 23, 30,
Nov 6, 13
(may subject to further adjustment, please refer to the course
Moodle page)",MC,LE-1
"Semester 1
(Module 1  & 2)
Sep 1 - Nov 29, 2025",FITE7410,Financial Fraud Analytics (Class A),Elective,"Dr. Vivien Chan &
Ms. Annie Chan","Wednesday
19:00 - 22:00","Sep 3, 10, 17, 24,
Oct 8, 22,
Nov 5, 12, 19, 26
(may subject to further adjustment, please refer to the course
Moodle page)","Sep 3, 10, 17, 24,
Oct 8, 22,
Nov 5, 12, 19, 26
(may subject to further adjustment, please refer to the course
Moodle page)",MC,LE-5
"Module 1
Aug 30 to Oct 12, 2025",MFIN6003,Derivative Securities (Class E),Core,Prof. Hongye Guo,"Tuesday & Friday
14:00-17:00","Sep 2, 9, 12, 13 (Sat, 18:30-21:30, Room ABC), 16, 19, 26,
27 (Sat, 14:00-17:00, LTB), 30,
Oct 3","Sep 2, 9, 12, 13 (Sat, 18:30-21:30, Room ABC), 16, 19, 26,
27 (Sat, 14:00-17:00, LTB), 30,
Oct 3",CP,"Room ABC

LTB (Sep 27)"
,MFIN6003,Derivative Securities (Class F),,,"Tuesday & Friday
18:30-21:30","Sep 2, 9, 12, 16, 17 (Wed, 18:30-21:30), 19, 26, 27 (Sat, 18:30-21:30, LTB), 30,
Oct 3","Sep 2, 9, 12, 16, 17 (Wed, 18:30-21:30), 19, 26,
27 (Sat, 18:30-21:30, LTB), 30,
Oct 3",CP,"Room ABC

LTB (Sep 27)"
"Module 1
Aug 30 to Oct 12, 2025",MFIN7002,Investment Analysis and Portfolio Management (Class E),Core,Prof. Rujing Meng,"Monday & Thursday
14:00-17:00","Sep 1, 4, 8, 11, 15, 18, 22, 25, 29,
Oct 2","Sep 1, 4, 8, 10 (Wed, 14:00-17:00, TT404 @MC), 15,
20 (Sat, 18:30-21:30),  22, 24 (Wed, 18:30-21:30), 29,
Oct 3 (Fri, 09:30-12:30, Room LTB)",CP,Room ABC
,MFIN7002,"Investment Analysis and Portfolio Management (Class F)
(Class F open to Part-time students of Master of Science in Financial Technology and Data 
Analytics under the Faculty of Engineering)",,,"Monday & Thursday
18:30-21:30","Sep 1, 4, 8, 11, 15, 18, 22, 25, 29,
Oct 2","Sep 1, 4, 8, 11, 15, 18, 22, 25, 29,
Oct 2",CP,Room ABC
"Module 1
Aug 30 to Oct 12, 2025",MFIN7031,"Introduction to FinTech and its Impact on the Future of Banking and Finance (Class A)
(shared class with MFin)",Elective,Prof. Fangzhou Lu,"Sunday
09:30-12:30 & 14:00-17:00","Aug 31,
Sep 7, 14, 21, 28","Aug 31,
Sep 7, 14, 21, 28",CP,Room ABC
"Module 2
Oct 13 to Nov 23, 2025",MFIN7003,"Mathematical Techniques in Finance (Class E)
Prerequisite: MFIN6003 Derivative securities",Core,Dr. Jinghan Meng,"Tuesday & Friday
9:30-12:30","Oct 13 (Mon, 18:30-21:30), 14, 21, 24, 28, 31,
Nov 4, 7, 10 (Mon, 18:30-21:30), 11","Oct 13 (Mon, 18:30-21:30), 14, 21, 24, 28, 31,
Nov 4, 7, 10 (Mon, 18:30-21:30), 11",CP,Room ABC
,MFIN7003,"Mathematical Techniques in Finance (Class F)
Prerequisite: MFIN6003 Derivative securities",,,"Tuesday & Friday
14:00-17:00","Oct 14, 17 (18:30-21:30, Room H), 21, 24, 28, 31,
Nov 4, 7, 11, 14 (18:30-21:30, LTA)","Oct 14, 17 (18:30-21:30, Room H), 21, 24, 28, 31,
Nov 4, 7, 11, 14 (18:30-21:30, LTA)",CP,"Room ABC

Room H (Oct 17)
LTA (Nov 14)"
"Module 2
Oct 13 to Nov 23, 2025",MFIN7033,Advanced Financial Programming and Databases (Class A),Core,Prof. Jiantao Huang,"Wednesday & Saturday
14:00-17:00","Oct 15, 20 (Mon, 18:30-21:30), 22, 27 (Mon, 18:30-21:30),
Nov 3 (Mon, 18:30-21:30), 5, 12,
17 (Mon, 14:00-17:00 & 18:30-21:30), 19","Oct 15, 20 (Mon, 18:30-21:30), 22, 27 (Mon, 18:30-21:30),
Nov 3 (Mon, 18:30-21:30), 5, 12,
17 (Mon, 14:00-17:00 & 18:30-21:30), 19",CP,Room ABC
,MFIN7033,Advanced Financial Programming and Databases (Class B),,,"Wednesday & Saturday
18:30-21:30","Oct 15, 18, 22, 25,
Nov 1, 5, 8, 12, 15, 19","Oct 15, 18, 22, 25,
Nov 1, 5, 8, 12, 15, 19",CP,Room ABC
